,rgocronu,vano,mes,especie,calibre,marca,quantidade,envolvim,patrimonio,serie,tipo_bem,origem,dp_ro,datc,horc,datf,horf,circ,aisp,risp,regiao,fmun_cod,fufe,locf,ftlo,flog,fnum,fcom,fref,fbai,fmun,ftlc
0,009-00693/2024,2024.0,1.0,revólver,.32 long,taurus,1.0,apreensão,registro particular,662435,arma de fogo,nacional,009a. Catete,2024-01-17,14:59:25,2024-01-17,14:10,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Vila rua silveira martins,Vila,Rua silveira martins,68,Bloco 2 - 207,,Flamengo,Rio de Janeiro,Residência
1,010-00173/2024,2024.0,1.0,revólver,.22 lr,rossi,1.0,apreensão,não identificada,557979,arma de fogo,estrangeira,010a. Botafogo,2024-01-05,08:24:31,2024-01-05,23:00,010a. Botafogo,2.0,1.0,,Rio de Janeiro,RJ,Rua dezenove de fevereiro,Rua,Dezenove de fevereiro,10,,,Botafogo,Rio de Janeiro,Via pública
2,010-01140/2024,2024.0,1.0,revólver,.22 long,taurus,1.0,apreensão,não identificada,707615,arma de fogo,nacional,010a. Botafogo,2024-01-31,12:27:26,2024-01-31,11:00,010a. Botafogo,2.0,1.0,,Rio de Janeiro,RJ,Rua rua bambina,Rua,Rua bambina,140,,10ª dp,Botafogo,Rio de Janeiro,Delegacia policial
3,010-01140/2024,2024.0,1.0,carabina,.22 lr,cbc,1.0,apreensão,não patrimoniada,7155775789,arma de fogo,nacional,010a. Botafogo,2024-01-31,12:27:26,2024-01-31,11:00,010a. Botafogo,2.0,1.0,,Rio de Janeiro,RJ,Rua rua bambina,Rua,Rua bambina,140,,10ª dp,Botafogo,Rio de Janeiro,Delegacia policial
4,010-01140/2024,2024.0,1.0,revólver,.38,taurus,1.0,apreensão,não patrimoniada,1381022,arma de fogo,nacional,010a. Botafogo,2024-01-31,12:27:26,2024-01-31,11:00,010a. Botafogo,2.0,1.0,,Rio de Janeiro,RJ,Rua rua bambina,Rua,Rua bambina,140,,10ª dp,Botafogo,Rio de Janeiro,Delegacia policial
5,009-01596/2024,2024.0,2.0,pistola,9 mm,glock,1.0,apreensão,não patrimoniada,HRB587,arma de fogo,estrangeira,009a. Catete,2024-02-03,13:14:46,2024-02-03,21:00,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Rua rua honorio de barros,Rua,Rua honorio de barros,20,,,Flamengo,Rio de Janeiro,Via pública
6,009-01661/2024,2024.0,2.0,carabina,22,não identificada,1.0,apreensão,não identificada,21568358,arma de fogo,nacional,009a. Catete,2024-02-05,11:54:02,2024-02-05,11:00,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Praia praia do flamengo,Praia,Praia do flamengo,180,,,Flamengo,Rio de Janeiro,Outros
7,009-01661/2024,2024.0,2.0,espingarda,12,boito,1.0,apreensão,não identificada,43996,arma de fogo,nacional,009a. Catete,2024-02-05,11:54:02,2024-02-05,11:00,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Praia praia do flamengo,Praia,Praia do flamengo,180,,,Flamengo,Rio de Janeiro,Outros
8,009-01661/2024,2024.0,2.0,revólver,32,rossi,1.0,apreensão,não identificada,003182,arma de fogo,nacional,009a. Catete,2024-02-05,11:54:02,2024-02-05,11:00,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Praia praia do flamengo,Praia,Praia do flamengo,180,,,Flamengo,Rio de Janeiro,Outros
9,009-01661/2024,2024.0,2.0,revólver,indeterminado,indeterminado,1.0,apreensão,não identificada,,arma de fogo,estrangeira,009a. Catete,2024-02-05,11:54:02,2024-02-05,11:00,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Praia praia do flamengo,Praia,Praia do flamengo,180,,,Flamengo,Rio de Janeiro,Outros
10,010-01737/2024,2024.0,2.0,garrucha,.22 short,indeterminado,1.0,apreensão,não patrimoniada,,arma de fogo,estrangeira,010a. Botafogo,2024-02-14,15:37:07,2024-02-14,15:30,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Rua rua pinheiro machado,Rua,Rua pinheiro machado,139,Apto 803,,Laranjeiras,Rio de Janeiro,Residência
11,012-02418/2024,2024.0,3.0,revólver,.22 lr,taurus,1.0,apreensão,não identificada,115955,arma de fogo,estrangeira,012a. Copacabana,2024-03-04,23:31:57,2024-03-04,19:45,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Rua rua paissandu,Rua,Rua paissandu,112,,Esquina com rua senador vergueiro,Flamengo,Rio de Janeiro,Via pública
